shipment_id,container_id,container_type,container_size,volume_cbm,weight_kg,container_utilization
551258,195846,Dry,40 ft HC,65.59,9155.62,0.8642
611620,228371,Dry,40 ft,34.8,5774,0.5179
569644,199211,Dry,40 ft,51.572,6017.92,0.7674
600001,229944,Dry,40 ft HC,63.828,7270.64,0.8409
561978,203206,Dry,40 ft HC,2345.249227,7319.3384,30.8992
606938,230446,Dry,40 ft,44.16,6812,0.6571
226218,61870,Dry,20 ft,8.293,2041.5,0.2528
457337,134847,Dry,40 ft HC,65.68,4570.4,0.8653
118703,44960,Dry,40 ft,39.09,3009.6,0.5817
373840,97938,Dry,40 ft HC,60,5041.8,0.7905
165017,57243,Dry,40 ft HC,55.75,3146.7,0.7345
374841,97385,Dry,45 ft HC,40,25806,0.4646
420642,116285,Dry,40 ft HC,66.83,5386.9,0.8805
536492,178674,Dry,40 ft HC,58.56,7186.56,0.7715
504710,158148,Dry,40 ft,53.3,6391.69,0.7932
382218,114273,Dry,45 ft HC,35,24140,0.4065
383076,96559,Dry,40 ft HC,64.576,6760,0.8508
221869,61500,Dry,40 ft,34.83,5997.23,0.5183
137706,49004,Dry,40 ft,36.66,5772.4,0.5455
506940,158753,Dry,20 ft,16.9,4363.02,0.5152
288725,80906,Dry,40 ft,31.49,2473.75,0.4686
411348,105611,Dry,40 ft,50,10385.8,0.744
519685,23501,Dry,40 ft,44.16,6812,0.6571
511432,167596,Dry,40 ft,53.12,6180.8,0.7905
570824,221785,Dry,45 ft HC,72.23,4367,0.8389
557932,194490,Dry,40 ft HC,64.93,4791.5,0.8555
450380,130374,Dry,40 ft HC,64.5,6680,0.8498
85348,26800,Dry,40 ft HC,63.4,5206.5,0.8353
529400,175565,Dry,40 ft HC,63.824,8289.75,0.8409
598687,229883,Dry,40 ft HC,63.675,6289.5,0.8389
232483,63780,Dry,45 ft HC,65,6534,0.7549
464564,136527,Dry,40 ft,45.88,1260,0.6827
488011,150607,Dry,40 ft,39.05,3568.09,0.5811
572656,224410,Dry,20 ft,6.21,17200,0.1893
451152,134045,Dry,40 ft HC,62.18,4530,0.8192
573442,213149,Dry,40 ft,53.4,14781,0.7946
148923,63050,Dry,40 ft HC,61.65,5305.2,0.8123
420645,116253,Dry,40 ft HC,65.3,6145,0.8603
578141,203732,Dry,40 ft HC,55.636,4858.2,0.733
67745,18439,Dry,40 ft,35.64,4165.33,0.5304
605857,226903,Dry,20 ft,15.78,2208,0.4811
251412,71277,Dry,40 ft,49.4,8256,0.7351
527755,170977,Dry,40 ft,44.66,7623.8,0.6646
587430,219456,Dry,40 ft HC,44.42,3887,0.5852
451043,128559,Dry,40 ft HC,56.66,5330,0.7465
563984,202112,Dry,40 ft HC,54.335,6024.81,0.7159
285331,77449,Dry,40 ft,50.1,1340,0.7455
379039,109305,Dry,40 ft HC,62.61,5430,0.8249
555113,195543,Dry,40 ft HC,62.757,6557.12,0.8268
528568,171523,Dry,40 ft,54.302,5574.12,0.8081
511427,166686,Dry,40 ft HC,61.427,7517.44,0.8093
40175,9408,Dry,40 ft HC,63.6,7317,0.8379
251919,74987,Dry,40 ft,58.86,12629.6,0.8759
243131,70062,Dry,40 ft HC,68.4,8373.6,0.9012
591959,224469,Dry,40 ft,53.566,5907.71,0.7971
478086,144590,Dry,40 ft,33.21,2374.78,0.4942
484431,146678,Dry,45 ft HC,38,25452,0.4413
161142,59263,Dry,40 ft,38.86,2050.51,0.5783
163922,57821,Dry,40 ft,36.55,4607,0.5439
433291,117828,Dry,40 ft,50.15,1332,0.7463
563186,202013,Dry,40 ft,54.97,5652.71,0.818
448284,127634,Dry,40 ft,46.18,13016.38,0.6872
604763,223124,Dry,20 ft,19.39,4365.4,0.5912
569644,199207,Dry,40 ft,51.088,6524.79,0.7602
471881,136250,Dry,20 ft,23.57,1375,0.7186
