Table,Column Name,Notes
suppliers,supplier_company_id,UUID for Suppliers: companies (often manufacturers) that Consignees hire to produce their Products
suppliers,supplier_country_code,Country code where the Supplier is located
suppliers,supplier_in_east_china,Boolean indicating whether the supplier is located in East China (regional difference affects Flexport operations)
suppliers,supplier_in_south_china,Boolean indicating whether the supplier is located in South China (regional difference affects Flexport operations)
suppliers,bookings_feature_first_enabled_at,"UTC Timestamp of when the supplier became onboarded onto Flexport's online booking tool; if not onboarded onto the tool, Suppliers interact with our Consignees ""offline"" outside of Flexport and not via our platform"
purchase_orders_and_bookings,purchase_order_id,"UUID for Purchase Orders (POs) via Flexport's ""Purchase Order Management Tool"""
purchase_orders_and_bookings,shipment_id,UUID for each Shipment in Flexport's platform; POs to Shipments can be M:M
purchase_orders_and_bookings,container_id,UUID for shipping containers used on a Shipment; there can be multiple containers used for 1 shipment or none at all (if the shipment is via Air or Trucking)
purchase_orders_and_bookings,product_id,UUID for Products (SKUs) shipped by Flexport for the Consignee
purchase_orders_and_bookings,consignee_company_id,UUID for Consignees: companies that pay Flexport to have their Products moved from Suppliers to final destination (often warehouses)
purchase_orders_and_bookings,supplier_company_id,UUID for Suppliers: companies (often manufacturers) that Consignees hire to produce their Products
purchase_orders_and_bookings,purchase_order_created_date,"UTC Timestamp of when the Consignee submitted the PO to the Supplier via Flexport's ""Purchase Order Management Tool"""
purchase_orders_and_bookings,purchase_order_requested_cargo_ready_date,Consignee requested in the PO that their Products be ready for pickup at the Supplier by this date (local time)
purchase_orders_and_bookings,purchase_order_requested_delivery_date,Consignee requested in the PO that their Products be delivered to final destination by this date (local time)
purchase_orders_and_bookings,booking_created_date,"Supplier responded to Consignee's PO and confirmed their booking (""agreement"") of the PO at this UTC timestamp; there can be multiple bookings to one PO"
purchase_orders_and_bookings,booking_cargo_ready_date,Supplier confirmed the (local time) date on which the Products would be ready for pickup
purchase_orders_and_bookings,purchase_order_sku_count,Quantity of Product the Consignee requested in the PO
purchase_orders_and_bookings,purchase_order_sku_price,Unit Price of Product the Consignee requested in the PO
purchase_orders_and_bookings,booking_sku_count,Quantity of Product the Supplier confirmed would be produced for pickup
purchase_orders_and_bookings,shipped_sku_count,Actual Quantity of Product that was shipped
purchase_orders_and_bookings,shipped_sku_price,Actual Unit Price of Product that was shipped
