purchase_order_id,shipment_id,container_id,product_id,consignee_company_id,supplier_company_id,purchase_order_created_date,purchase_order_requested_cargo_ready_date,purchase_order_requested_delivery_date,booking_created_date,booking_cargo_ready_date,purchase_order_sku_count,purchase_order_sku_price,booking_sku_count,shipped_sku_count,shipped_sku_price
42200,559601,201144,3107426,683679,748415,2019-07-16 16:23:07.832878,2019-08-17,,2019-06-19 11:00:50.95693,2019-08-17,410,,307,205,24.66
4113,108567,,1074767,546609,631676,2017-10-19 19:36:09.125558,2017-08-28,2017-09-22,2017-08-26 02:09:49.899587,2017-09-15,659,32.80,659,659,32.80
48494,596848,,3105268,683679,749342,2019-07-12 20:16:23.975147,2019-11-07,2019-11-07,2019-08-14 08:27:05.507885,2019-10-20,154,,154,,
48488,586440,222360,3107794,683679,748103,2019-08-28 06:26:20.231344,2019-09-14,2019-09-25,2019-07-30 08:23:23.873934,2019-08-30,359,9.53,359,359,8.70
9995,312425,,1584749,656536,668561,2018-05-31 07:43:52.603414,2018-06-01,2018-07-15,2018-06-15 03:00:10.824455,2018-06-20,158,15.13,158,,
8292,278162,,1415120,656536,668631,2018-04-03 14:21:34.306907,2018-05-25,2018-06-08,2018-05-14 02:28:44.733255,2018-05-18,99,12.47,99,,
35662,613780,,2991034,656536,702454,2019-05-14 07:50:11.093621,2019-08-27,2019-10-08,2019-09-06 04:25:52.964306,2019-09-12,453,27.94,453,,
52745,610055,,3105873,683679,749342,2019-08-13 16:00:40.367702,2019-11-09,2019-12-12,2019-09-02 08:13:56.210176,2019-11-15,1024,9.37,1024,,
46945,614944,,3444951,656536,668403,2019-07-04 05:25:05.013841,2019-09-20,2019-10-04,2019-09-09 04:35:07.261069,2019-09-20,1084,18.54,1084,,
14692,470601,,2248106,656536,668561,2018-10-22 06:40:01.748087,2018-12-21,2019-02-05,2018-12-29 06:47:04.154775,2018-12-29,197,16.05,197,,
46265,570156,214799,3108000,683679,749086,2019-07-16 16:23:03.930701,2019-08-24,2019-09-30,2019-07-04 01:30:27.412262,2019-08-19,5122,,5122,5122,11.88
26168,576482,,2719691,656536,668570,2019-01-21 16:13:20.330263,2019-08-01,2019-09-12,2019-07-18 15:46:14.825917,2019-07-22,99,44.40,99,,
13005,414661,,1545941,656536,668631,2018-09-11 09:45:43.144836,2018-09-25,2018-10-09,2018-09-13 06:35:20.779175,2018-09-25,94,15.30,94,,
4911,126533,,516030,546609,633728,2018-08-08 22:09:33.801663,2017-12-06,2018-01-17,2017-10-31 06:37:59.455623,2017-12-06,1265,17.62,1265,1265,17.61
9053,377622,,1841837,656536,668561,2018-07-31 11:19:16.093525,2018-08-30,2018-09-17,2018-08-16 05:30:37.823894,2018-08-16,30,17.29,30,,
14652,452108,,1161554,546609,632221,2019-06-09 20:35:10.640647,2019-01-18,2019-03-25,2018-11-23 03:18:18.621123,2018-12-13,6590,0.63,6590,,
11838,369046,,1541487,656536,668573,2018-07-30 10:48:23.233656,2018-08-22,2018-09-05,2018-08-02 17:22:24.253301,2018-08-20,236,14.13,236,,
42156,555315,,3105954,683679,748406,2019-07-09 01:00:49.061068,2019-06-29,2019-08-05,2019-06-11 08:04:13.067358,2019-06-21,563,,563,563,1114.90
4254,122033,,211587,546609,639361,2019-06-09 20:35:10.683981,2017-11-06,2017-12-18,2017-10-17 03:53:55.659924,2017-11-06,2636,0.91,2636,2636,0.91
48689,585178,,614854,546609,631676,2019-08-27 02:03:10.790547,2019-08-30,2019-09-27,2019-07-27 08:08:29.463759,2019-08-26,879,35.77,879,879,35.77
6032,231251,,1317322,656536,666747,2018-03-21 07:40:28.285955,2018-03-12,2018-03-26,2018-03-22 10:06:07.91496,2018-03-12,384,9.98,286,,
43022,575281,211626,3177019,730503,751310,2019-06-20 20:06:44.453944,2019-08-12,2019-10-06,2019-07-12 03:33:17.301786,2019-08-11,411,671.62,411,411,671.62
14725,451074,,2248245,656536,668573,2018-11-21 16:11:25.911652,2018-11-25,2018-12-09,2018-11-21 03:06:02.085467,2018-11-26,1084,13.80,1138,,
10132,302338,,1589355,546609,631676,2018-08-08 22:09:08.975515,2018-06-17,2018-07-20,2018-06-06 07:44:36.903759,2018-06-17,1406,34.23,1406,1406,34.23
32824,542771,179973,1382207,546609,639362,2019-06-11 02:03:27.817105,2019-05-27,2019-07-01,2019-05-20 12:39:41.192494,2019-05-30,1098,14.67,1098,1098,14.67
27234,509133,,2355610,656536,668561,2019-02-26 12:55:30.620299,2019-03-30,2019-04-15,2019-03-22 08:25:01.71179,2019-03-27,443,24.36,443,,
4254,122033,,101712,546609,639361,2019-06-09 20:35:10.683981,2017-11-06,2017-12-18,2017-10-17 03:53:55.659924,2017-11-06,2197,2.24,2197,2197,2.24
48485,586440,222360,3107936,683679,748103,2019-08-28 06:26:20.247258,2019-09-14,2019-09-25,2019-07-30 08:23:23.873934,2019-08-30,41,15.96,41,41,14.58
9837,354582,,1553084,656536,668570,2018-07-20 09:14:34.159006,2018-08-05,2018-08-20,2018-07-23 07:24:54.474031,2018-08-02,94,44.48,94,,
11896,429608,,1849252,656536,668403,2018-08-03 15:33:11.244454,2018-10-15,2018-10-29,2018-10-12 02:08:21.151487,2018-10-14,108,26.44,108,,
25914,500427,159369,1352927,546609,632222,2019-04-19 02:03:27.073196,2019-03-31,2019-05-03,2019-03-06 09:19:12.711532,2019-03-31,47058,8.04,47058,47058,8.03
5787,174384,,48882,546609,639558,2018-08-08 22:09:39.73461,2018-03-27,2018-04-27,2018-02-09 04:33:13.596828,2018-03-20,4766,21.73,4766,4766,21.73
25888,513624,,2647589,656536,668631,2019-04-10 06:44:45.105774,2019-04-10,2019-04-24,2019-04-01 06:03:05.748793,2019-04-10,103,15.46,99,,
