shipment_id,shipment_created_in_system_date,mode,bco,freight_service,freight_type,incoterms,contains_dangerous_goods,supplier_company_id,consignee_company_id,supplier_lat,supplier_lng,departure_port,arrival_port,inland_port,consignee_final_destination_lat,consignee_final_destination_lng,tradelane,freight_carrier,actual_cargo_ready_date,scheduled_departure_port_departure_date,actual_departure_port_departure_date,scheduled_arrival_port_arrival_date,actual_arrival_port_arrival_date,scheduled_inland_port_arrival_date,actual_inland_port_arrival_date,scheduled_delivery_date,actual_delivery_date,includes_customs,target_net_revenue,estimated_total_cost,actual_total_cost,actual_total_invoice,actual_net_revenue
609050,2019/8/30,Ocean FCL,f,CY to CY,Port to Door,FOB,f,725672,612365,25.6485247,119.2528827,"Xiamen, China","Los Angeles, CA","Chicago, Illinois",40.5220737,-87.1755633,TPEB,Gabon Airlines Cargo,2019/9/9,2019/9/15 04:00,2019/9/15 02:54,2019/9/28 19:00,,2019/10/5 17:00,,2019/10/11 17:00,,f,899.24,17984.72,0,18374.08,18374.08
580758,2019/7/21,Ocean FCL,f,CY to CY,Port to Port,FOB,f,639363,546609,31.23276834,120.7236283,Ningbo,"Long Beach, California",,34.89090434,-117.0575857,TPEB,Orient Thai Airlines,2019/8/16,2019/8/25 04:00,2019/8/25 13:16,2019/9/10 19:00,2019/9/10 22:16,,,2019/9/19 19:00,,f,138.13,1381.28,2124.51,1602.65,-521.86
384675,2018/8/15,Ocean FCL,f,CY to CY,Port to Port,FOB,f,633728,546609,23.80384177,114.2919608,"Yantian, China","Long Beach, California",,34.89061077,-117.0578302,TPEB,G & M TRUCKING LLC,2018/10/10,2018/10/16 01:00,2018/10/16 01:00,2018/10/31 15:00,2018/10/31 15:00,,,2018/11/10 20:00,2018/11/5 08:00,f,221.96,2219.65,2194.59,2304.82,110.23
310117,2018/6/13,Air,f,CFS to CFS,Door to Door,EXW,f,636800,543943,23.78082378,114.9237968,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,34.98228978,-116.7010822,TPEB,Hillside Warehouse and Trucking,2018/6/15,2018/6/16 12:15,2018/6/16 12:15,2018/6/17 05:06,2018/6/17 05:06,,,2018/6/18 07:00,2018/6/18 22:00,t,1147.65,11601.98,10324.84,11601.98,1277.14
452871,2018/11/26,Air,f,CFS to CFS,Door to Door,EXW,f,643567,543943,23.79284076,114.7138268,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,35.04750776,-116.9525292,TPEB,Schreiner Airways,2018/11/27,2018/11/29 09:10,2018/11/29 08:55,2018/11/30 01:25,2018/11/29 20:00,,,2018/12/1 05:00,2018/12/1 05:00,t,461.63,4804.39,2118.56,5609.86,3491.3
96691,2017/7/10,Air,f,CFS to CFS,Port to Door,FOB,f,606659,548254,11.81864975,107.6252147,SGN - Ho Chi Minh City - Vietnam,HNL - Honolulu - HI,"Chicago, Illinois",42.65191975,-87.11193425,TPEB,KLM Royal Dutch Airlines,2017/7/24,2017/7/24 17:00,2017/7/25 05:00,2017/7/27 06:00,2017/7/26 22:00,2017/7/29 05:00,2017/7/29 17:00,2017/8/2 17:00,2017/8/2 17:00,t,129,1389.69,1087.79,1595.46,507.67
312662,2018/6/15,Ocean FCL,f,CY to CY,Port to Port,FOB,f,749699,612365,32.22002613,122.4603801,"Shanghai, China","Vancouver, Canada","Columbus, OH",40.10586613,-82.00052387,TPEB,Combimar & Agemar,2018/7/6,2018/7/9 08:00,2018/7/9 19:43,2018/7/21 23:00,2018/7/22 17:43,2018/8/18 16:00,2018/8/19 04:00,2018/8/22 16:00,2018/8/22 04:00,f,167.95,3359.02,3406.36,3476.86,70.5
416056,2018/9/17,Air,f,CFS to CFS,Port to Door,FCA,f,680817,654884,23.71443601,115.050067,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,35.25135101,-117.408092,TPEB,Schreiner Airways,2018/9/20,2018/9/24 12:15,2018/9/24 13:02,2018/9/25 04:47,2018/9/25 04:53,,,2018/9/28 19:00,2018/9/28 22:00,t,520.75,10651.5,9322.91,11366.1,2043.19
297747,2018/6/1,Ocean FCL,f,CY to Door,Port to Door,FOB,f,598234,543943,24.02473079,114.9569368,"Hong Kong, Hong Kong","Long Beach, California",,35.04592379,-116.9541132,TPEB,Combimar & Agemar,2018/6/9,2018/6/17 04:00,2018/6/16 16:16,2018/7/4 12:30,2018/7/3 21:14,,,2018/7/6 07:00,07:30.5,t,270.99,2835.92,2272.82,2835.91,563.09
494560,2019/2/21,Ocean FCL,f,CY to CY,Port to Door,DAP,f,619714,548913,23.27465216,115.1573542,"Yantian, China","New York, NY / Newark, NJ",,40.77135016,-74.05070584,TPEB,Gabon Airlines Cargo,2019/3/14,2019/3/24 06:00,2019/3/23 01:35,2019/4/22 09:20,2019/4/22 18:57,,,2019/4/30 04:00,2019/4/25 16:00,t,2954.8,29701.21,27600.62,39361.64,11761.02
62217,2017/1/12,Ocean FCL,f,CY to CY,Port to Door,FOB,f,628973,543943,31.26174781,121.1470968,Ningbo,"Los Angeles, CA",,34.97908581,-116.7042862,TPEB,"Air Cargo Carriers, Inc.",2017/1/21,2017/2/2 16:00,2017/2/3 16:00,2017/2/18 08:00,2017/2/18 08:00,,,2017/2/24 08:00,2017/2/27 08:00,t,327.11,3370.93,3293.38,3647.91,354.53
463585,2018/12/14,Air,f,CFS to CFS,Door to Door,EXW,t,547503,547503,52.85726965,5.516861651,AMS - Amsterdam - Netherlands,HKG - Hong Kong - Hong Kong,,23.49948065,115.1149607,FEEB,QFS Transportation,2018/12/18,,2018/12/23 12:50,2018/12/24 01:15,2018/12/24 04:00,,,2019/1/3 04:00,2019/1/3 04:00,f,218.27,2182.67,2997.35,2182.67,-814.68
446684,2018/11/13,Air,f,CFS to CFS,Door to Door,EXW,f,635558,543943,36.85521883,105.1889558,PVG - Shanghai - China,MEL - Melbourne - Australia,,-37.01202917,146.1928298,ROW,Eva & Brothers Transportation,2018/11/22,2018/11/25 16:17,2018/11/25 16:17,2018/11/26 03:05,2018/11/26 03:05,,,2018/11/29 01:00,2018/11/29 01:00,t,265.31,2796.01,2661.99,3239.75,577.76
88179,2017/5/31,Ocean FCL,f,CY to CY,Port to Door,FOB,f,609571,552355,23.71448675,115.2404117,"Yantian, China",Seattle,,48.44487575,-121.2291283,TPEB,DAC Air SA,2017/6/1,2017/6/8 04:00,2017/6/7 21:21,2017/6/30 10:00,2017/6/30 11:19,,,2017/7/6 19:00,2017/7/3 19:00,t,194.98,2049.8,1964.81,2351.71,386.9
454023,2018/11/27,Air,t,CFS to CFS,Port to Door,CIF,f,693468,654884,23.69032279,115.0388638,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,35.24984279,-117.4096002,TPEB,Schreiner Airways,2018/12/11,2018/12/13 09:10,2018/12/13 09:10,2018/12/13 23:04,2018/12/13 20:00,,,2018/12/17 20:00,2018/12/15 01:00,t,163.16,3436.67,2486.67,3404.57,917.9
524364,2019/4/18,Ocean FCL,f,CY to CY,Port to Port,FOB,f,631676,546609,23.88868678,113.8754508,"Yantian, China","Long Beach, California",,34.88511578,-117.0633252,TPEB,Gabon Airlines Cargo,2019/5/8,2019/5/14 09:00,2019/5/14 00:23,2019/5/29 19:00,2019/5/29 19:00,,,2019/6/7 12:00,2019/6/4 19:00,t,203.49,2161.21,1761.12,2265.88,504.76
145227,2018/1/5,Air,f,CFS to CFS,Port to Door,FOB,f,600208,583732,23.31139174,115.1724307,HKG - Hong Kong - Hong Kong,LAX - Los Angeles - CA,,35.14564474,-116.4409843,TPEB,Vepco Transport B.V.,2018/1/20,2018/1/23 04:00,2018/1/22 18:40,2018/1/24 02:00,2018/1/24 01:13,,,2018/1/30 20:00,2018/1/30 19:00,t,144.94,1575.78,1392.81,1821.34,428.53
584410,2019/7/26,Ocean FCL,f,CY to CY,Port to Door,FOB,f,547315,557918,11.82026154,107.5963885,"Cai Mep, Vietnam (Int. Terminal)","Long Beach, California",,35.00077454,-116.5631085,TPEB,G & M TRUCKING LLC,2019/8/10,2019/8/14 17:00,2019/8/16 05:00,2019/9/3 07:00,2019/9/3 19:00,,,2019/9/12 13:00,2019/9/12 13:00,t,301.07,2133.52,1132.24,2481.14,1348.9
244922,2018/4/9,Air,f,CFS to CFS,Door to Door,DDP,f,558041,547503,34.86649958,-117.0427404,LAX - Los Angeles - CA,HKG - Hong Kong - Hong Kong,,23.41620858,115.2052296,TPWB,Schreiner Airways,2018/4/10,2018/4/12 07:00,2018/4/12 07:00,2018/4/12 16:00,2018/4/12 16:00,,,2018/4/16 04:00,2018/4/16 16:00,f,624.55,6245.52,7340.39,6245.52,-1094.87
548893,2019/5/30,Ocean FCL,f,CY to CY,Port to Door,FOB,f,750367,730503,27.14398292,120.1163589,"Fuzhou, China","Los Angeles, CA",,34.89827092,-117.3187421,TPEB,Orient Thai Airlines,2019/5/30,2019/6/23 16:00,2019/6/24 04:00,2019/7/13 07:00,2019/7/14 05:30,,,2019/7/31 12:00,2019/7/31 18:30,t,1058.45,10685.71,8605.56,10957.86,2352.3
